,PairId,QASpan,Q_id,Q_user,Q_#A,A_id,A_user,#Title,#QWords,#QSentence.,"#QSentence,",#QSentence;,#AWords,#ASentence.,"#ASentence,",#ASentence;,Credible
0,0,42020,Q268_R4,U4882,10,Q268_R4_C1,U594,2,41,2,1,4,41,1,1,1,1
1,1,62113,Q268_R4,U4882,10,Q268_R4_C2,U979,2,41,2,1,4,41,4,1,4,1
2,2,62125,Q268_R4,U4882,10,Q268_R4_C3,U979,2,41,2,1,4,41,4,1,2,0
3,3,96167,Q268_R4,U4882,10,Q268_R4_C4,U4883,2,41,2,1,4,41,1,1,1,1
4,4,127310,Q268_R4,U4882,10,Q268_R4_C5,U4884,2,41,2,1,4,41,1,1,2,1
5,5,148791,Q268_R4,U4882,10,Q268_R4_C6,U4885,2,41,2,1,4,41,2,1,1,1
6,6,150751,Q268_R4,U4882,10,Q268_R4_C7,U4886,2,41,2,1,4,41,6,1,1,1
7,7,162470,Q268_R4,U4882,10,Q268_R4_C8,U2,2,41,2,1,4,41,3,1,2,0
8,8,163272,Q268_R4,U4882,10,Q268_R4_C9,U2,2,41,2,1,4,41,12,1,1,0
9,9,164660,Q268_R4,U4882,10,Q268_R4_C10,U4882,2,41,2,1,4,41,4,1,3,0
10,10,832,Q268_R5,U4880,10,Q268_R5_C1,U4328,9,62,4,1,1,62,7,1,1,1
11,11,851,Q268_R5,U4880,10,Q268_R5_C2,U3617,9,62,4,1,1,62,1,1,1,1
12,12,2224,Q268_R5,U4880,10,Q268_R5_C3,U102,9,62,4,1,1,62,1,1,1,1
13,13,2961,Q268_R5,U4880,10,Q268_R5_C4,U492,9,62,4,1,1,62,6,1,2,1
14,14,3766,Q268_R5,U4880,10,Q268_R5_C5,U3675,9,62,4,1,1,62,1,1,1,0
15,15,4396,Q268_R5,U4880,10,Q268_R5_C6,U1218,9,62,4,1,1,62,1,1,6,0
16,16,5395,Q268_R5,U4880,10,Q268_R5_C7,U492,9,62,4,1,1,62,6,1,1,0
17,17,5738,Q268_R5,U4880,10,Q268_R5_C8,U3650,9,62,4,1,1,62,1,1,8,1
18,18,6109,Q268_R5,U4880,10,Q268_R5_C9,U4881,9,62,4,1,1,62,1,1,2,1
19,19,8763,Q268_R5,U4880,10,Q268_R5_C10,U639,9,62,4,1,1,62,1,1,1,1
20,20,17816,Q268_R10,U4733,10,Q268_R10_C1,U4734,6,28,2,1,1,28,3,1,3,1
21,21,17946,Q268_R10,U4733,10,Q268_R10_C2,U1807,6,28,2,1,1,28,2,1,1,1
22,22,18146,Q268_R10,U4733,10,Q268_R10_C3,U65,6,28,2,1,1,28,59,1,1,1
23,23,18151,Q268_R10,U4733,10,Q268_R10_C4,U4735,6,28,2,1,1,28,1,1,1,1
24,24,22138,Q268_R10,U4733,10,Q268_R10_C5,U640,6,28,2,1,1,28,3,1,1,0
25,25,22518,Q268_R10,U4733,10,Q268_R10_C6,U4435,6,28,2,1,1,28,3,1,2,0
26,26,56234,Q268_R10,U4733,10,Q268_R10_C7,U4736,6,28,2,1,1,28,4,1,1,1
27,27,83687,Q268_R10,U4733,10,Q268_R10_C8,U4733,6,28,2,1,1,28,1,1,2,0
28,28,116715,Q268_R10,U4733,10,Q268_R10_C9,U65,6,28,2,1,1,28,5,1,2,0
29,29,507972,Q268_R10,U4733,10,Q268_R10_C10,U4733,6,28,2,1,1,28,1,1,2,0
30,30,362,Q268_R13,U4909,10,Q268_R13_C1,U556,6,26,2,1,2,26,3,1,1,0
31,31,1895,Q268_R13,U4909,10,Q268_R13_C2,U210,6,26,2,1,2,26,5,1,1,1
32,32,1965,Q268_R13,U4909,10,Q268_R13_C3,U875,6,26,2,1,2,26,1,1,1,1
33,33,2773,Q268_R13,U4909,10,Q268_R13_C4,U2,6,26,2,1,2,26,1,1,1,0
34,34,4529,Q268_R13,U4909,10,Q268_R13_C5,U332,6,26,2,1,2,26,1,1,1,0
35,35,14711,Q268_R13,U4909,10,Q268_R13_C6,U2303,6,26,2,1,2,26,6,1,4,0
36,36,15673,Q268_R13,U4909,10,Q268_R13_C7,U4910,6,26,2,1,2,26,1,1,2,1
37,37,15993,Q268_R13,U4909,10,Q268_R13_C8,U708,6,26,2,1,2,26,1,1,1,0
38,38,16209,Q268_R13,U4909,10,Q268_R13_C9,U1137,6,26,2,1,2,26,1,1,1,0
39,39,16251,Q268_R13,U4909,10,Q268_R13_C10,U241,6,26,2,1,2,26,11,1,5,0
40,40,2927,Q268_R14,U2,10,Q268_R14_C1,U1828,5,77,7,1,1,77,1,1,1,1
41,41,10244,Q268_R14,U2,10,Q268_R14_C2,U1829,5,77,7,1,1,77,2,1,1,1
42,42,13826,Q268_R14,U2,10,Q268_R14_C3,U1830,5,77,7,1,1,77,1,1,1,1
43,43,17538,Q268_R14,U2,10,Q268_R14_C4,U273,5,77,7,1,1,77,3,1,1,1
44,44,19066,Q268_R14,U2,10,Q268_R14_C5,U2,5,77,7,1,1,77,1,1,1,0
